hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
54,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
54,test_fedall.log,LiteralOp localhost:38501/target/testTemp/functions/privacy/fedplanning/FederatedP2FFNPlanningTest/in/features1,62,CP,LOUT,none,NO_RULE,[],[56],[],[],null,[],[]
54,test_heuristic.log,LiteralOp localhost:33761/target/testTemp/functions/privacy/fedplanning/FederatedP2FFNPlanningTest/in/features1,62,CP,LOUT,none,NO_RULE,[],[56],[],[],null,[],[]
55,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
55,test_fedall.log,LiteralOp localhost:38265/target/testTemp/functions/privacy/fedplanning/FederatedP2FFNPlanningTest/in/features2,63,CP,LOUT,none,NO_RULE,[],[56],[],[],null,[],[]
55,test_heuristic.log,LiteralOp localhost:45531/target/testTemp/functions/privacy/fedplanning/FederatedP2FFNPlanningTest/in/features2,63,CP,LOUT,none,NO_RULE,[],[56],[],[],null,[],[]
56,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
56,test_fedall.log,m(list),64,CP,LOUT,none,NO_RULE,"[54, 55]",[110],[],[],null,"[null, null]",[]
56,test_heuristic.log,m(list),64,CP,LOUT,none,NO_RULE,"[54, 55]",[110],[],[],null,"[null, null]",[]
82,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
82,test_fedall.log,LiteralOp 0,65,CP,LOUT,none,NO_RULE,[],"[84, 102]",[],[],null,[],[]
82,test_heuristic.log,LiteralOp 0,65,CP,LOUT,none,NO_RULE,[],"[84, 102]",[],[],null,[],[]
84,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
84,test_fedall.log,m(list),66,CP,LOUT,none,NO_RULE,[82],[108],[],[],null,"[null, null]",[]
